Cycle, Iteration, PacketSize, B, C, R_last
1 , 23 , 1050 , 7 , 1090 , 235
1 , 24 , 1750 , 7 , 2268 , 1050
1 , 25 , 3000 , 7 , 3098 , 1750
1 , 26 , 235 , 7 , 2067 , 3000
1 , 27 , 2350 , 7 , 2984 , 235
1 , 28 , 3850 , 8 , 4096 , 2350
1 , 29 , 235 , 8 , 3765 , 3850
1 , 30 , 3850 , 8 , 5197 , 235
1 , 31 , 235 , 9 , 3795 , 3850
1 , 32 , 3000 , 9 , 3754 , 235
1 , 33 , 3850 , 9 , 5144 , 3000
1 , 34 , 3850 , 9 , 4313 , 3850
1 , 35 , 3850 , 9 , 4978 , 3850
1 , 36 , 235 , 9 , 3658 , 3850
1 , 37 , 1750 , 8 , 2184 , 235
1 , 38 , 235 , 8 , 940 , 1750
1 , 39 , 4300 , 8 , 200 , 235
1 , 40 , 235 , 8 , 335 , 4300
1 , 41 , 750 , 9 , 1011 , 235
1 , 42 , 1050 , 9 , 1139 , 750
1 , 43 , 1750 , 9 , 1794 , 1050
1 , 44 , 235 , 9 , 1315 , 1750
1 , 45 , 2350 , 8 , 2552 , 235
1 , 46 , 235 , 8 , 1081 , 2350
1 , 47 , 4300 , 8 , 200 , 235
1 , 48 , 235 , 9 , 535 , 4300
1 , 49 , 4300 , 9 , 225 , 235
1 , 50 , 235 , 8 , 1144 , 4300
1 , 51 , 750 , 8 , 772 , 235
1 , 52 , 1050 , 8 , 1489 , 750
1 , 53 , 235 , 8 , 200 , 1050
1 , 54 , 1050 , 12 , 1676 , 235
1 , 55 , 235 , 12 , 731 , 1050
1 , 56 , 560 , 12 , 609 , 235
1 , 57 , 1050 , 13 , 1564 , 560
1 , 58 , 1050 , 13 , 1475 , 1050
1 , 59 , 2350 , 12 , 2428 , 1050
1 , 60 , 235 , 12 , 2099 , 2350
1 , 61 , 3000 , 12 , 3460 , 235
1 , 62 , 235 , 12 , 2123 , 3000
1 , 63 , 3000 , 12 , 3100 , 235
1 , 64 , 3000 , 12 , 3663 , 3000
1 , 65 , 235 , 11 , 2650 , 3000
1 , 66 , 1050 , 11 , 1231 , 235
1 , 67 , 235 , 11 , 200 , 1050
1 , 68 , 1050 , 13 , 1277 , 235
1 , 69 , 235 , 13 , 200 , 1050
1 , 70 , 4300 , 13 , 214 , 235
1 , 71 , 235 , 5 , 1687 , 4300
1 , 72 , 3000 , 5 , 3181 , 235
1 , 73 , 3000 , 4 , 3681 , 3000
1 , 74 , 235 , 4 , 2704 , 3000
1 , 75 , 3850 , 3 , 4182 , 235
1 , 76 , 3850 , 4 , 4188 , 3850
1 , 77 , 235 , 5 , 3802 , 3850
1 , 78 , 3850 , 5 , 4701 , 235
1 , 79 , 235 , 6 , 3285 , 3850
1 , 80 , 3850 , 6 , 4520 , 235
1 , 81 , 235 , 7 , 3149 , 3850
1 , 82 , 3850 , 7 , 4181 , 235
1 , 83 , 3850 , 7 , 5653 , 3850
1 , 84 , 3850 , 7 , 4955 , 3850
1 , 85 , 3850 , 6 , 6134 , 3850
1 , 86 , 3850 , 7 , 4990 , 3850
1 , 87 , 3850 , 6 , 4566 , 3850
1 , 88 , 3850 , 6 , 5024 , 3850
1 , 89 , 235 , 6 , 3559 , 3850
2 , 0 , 2350 , 6 , 2461 , 235
2 , 1 , 3000 , 5 , 3059 , 2350
2 , 2 , 235 , 5 , 1706 , 3000
2 , 3 , 2350 , 5 , 2857 , 235
2 , 4 , 235 , 6 , 1987 , 2350
2 , 5 , 1750 , 6 , 1966 , 235
2 , 6 , 235 , 7 , 1354 , 1750
2 , 7 , 1050 , 6 , 1529 , 235
2 , 8 , 1750 , 5 , 2288 , 1050
2 , 9 , 3000 , 6 , 3454 , 1750
2 , 10 , 235 , 5 , 2928 , 3000
2 , 11 , 1750 , 6 , 2014 , 235
2 , 12 , 235 , 6 , 535 , 1750
2 , 13 , 235 , 6 , 254 , 235
2 , 14 , 4300 , 6 , 200 , 235
2 , 15 , 235 , 10 , 1322 , 4300
2 , 16 , 1750 , 9 , 2000 , 235
2 , 17 , 235 , 10 , 1212 , 1750
2 , 18 , 560 , 10 , 601 , 235
2 , 19 , 235 , 10 , 427 , 560
2 , 20 , 1050 , 8 , 1566 , 235
2 , 21 , 1050 , 8 , 1433 , 1050
2 , 22 , 2350 , 7 , 2359 , 1050
2 , 23 , 235 , 7 , 939 , 2350
2 , 24 , 1050 , 6 , 1700 , 235
2 , 25 , 1750 , 5 , 2131 , 1050
2 , 26 , 1750 , 5 , 1830 , 1750
2 , 27 , 3000 , 5 , 3022 , 1750
2 , 28 , 3000 , 6 , 3504 , 3000
2 , 29 , 235 , 6 , 2360 , 3000
2 , 30 , 3000 , 5 , 3213 , 235
2 , 31 , 3000 , 6 , 3762 , 3000
2 , 32 , 3000 , 7 , 3282 , 3000
2 , 33 , 3000 , 6 , 3749 , 3000
2 , 34 , 3000 , 6 , 3537 , 3000
2 , 35 , 3000 , 5 , 3297 , 3000
2 , 36 , 3000 , 5 , 3637 , 3000
2 , 37 , 3850 , 5 , 4922 , 3000
2 , 38 , 3850 , 5 , 6344 , 3850
2 , 39 , 3850 , 6 , 6258 , 3850
2 , 40 , 3850 , 5 , 5771 , 3850
2 , 41 , 3850 , 4 , 5173 , 3850
2 , 42 , 3850 , 3 , 4973 , 3850
2 , 43 , 3850 , 4 , 4981 , 3850
2 , 44 , 3850 , 5 , 6127 , 3850
2 , 45 , 3850 , 6 , 5756 , 3850
2 , 46 , 3850 , 7 , 5092 , 3850
2 , 47 , 235 , 7 , 3674 , 3850
2 , 48 , 3850 , 6 , 4948 , 235
2 , 49 , 3850 , 5 , 4106 , 3850
2 , 50 , 235 , 6 , 3384 , 3850
2 , 51 , 3000 , 5 , 3580 , 235
2 , 52 , 235 , 5 , 2761 , 3000
2 , 53 , 3000 , 6 , 3078 , 235
2 , 54 , 3850 , 7 , 4240 , 3000
2 , 55 , 3850 , 8 , 4133 , 3850
2 , 56 , 3850 , 9 , 4383 , 3850
2 , 57 , 3850 , 9 , 5290 , 3850
2 , 58 , 3850 , 8 , 4867 , 3850
2 , 59 , 3850 , 9 , 4708 , 3850
2 , 60 , 3850 , 8 , 5556 , 3850
2 , 61 , 3850 , 8 , 4842 , 3850
2 , 62 , 3850 , 9 , 6014 , 3850
2 , 63 , 3850 , 9 , 5298 , 3850
2 , 64 , 3850 , 9 , 4897 , 3850
2 , 65 , 3850 , 8 , 4476 , 3850
2 , 66 , 235 , 8 , 3034 , 3850
2 , 67 , 3000 , 8 , 3664 , 235
2 , 68 , 3850 , 8 , 4043 , 3000
2 , 69 , 3850 , 7 , 5525 , 3850
2 , 70 , 3850 , 7 , 4177 , 3850
2 , 71 , 235 , 6 , 3301 , 3850
2 , 72 , 3850 , 7 , 4608 , 235
2 , 73 , 235 , 7 , 3729 , 3850
2 , 74 , 3850 , 8 , 5021 , 235
2 , 75 , 3850 , 8 , 4851 , 3850
2 , 76 , 235 , 9 , 3462 , 3850
2 , 77 , 1750 , 9 , 2119 , 235
2 , 78 , 3000 , 8 , 3137 , 1750
2 , 79 , 3000 , 9 , 3732 , 3000
2 , 80 , 3850 , 8 , 4610 , 3000
2 , 81 , 3850 , 8 , 4346 , 3850
2 , 82 , 3850 , 7 , 5442 , 3850
2 , 83 , 3850 , 8 , 4362 , 3850
2 , 84 , 3850 , 8 , 5065 , 3850
2 , 85 , 3850 , 7 , 4249 , 3850
2 , 86 , 235 , 7 , 3263 , 3850
2 , 87 , 3000 , 6 , 3114 , 235
2 , 88 , 235 , 7 , 2397 , 3000
2 , 89 , 1750 , 6 , 1978 , 235
3 , 0 , 1750 , 5 , 2308 , 1750
3 , 1 , 2350 , 6 , 2986 , 1750
3 , 2 , 235 , 7 , 2226 , 2350
3 , 3 , 2350 , 6 , 2815 , 235
3 , 4 , 2350 , 6 , 2918 , 2350
3 , 5 , 235 , 6 , 2244 , 2350
3 , 6 , 750 , 6 , 818 , 235
3 , 7 , 235 , 6 , 559 , 750
3 , 8 , 4300 , 6 , 200 , 235
3 , 9 , 235 , 7 , 853 , 4300
3 , 10 , 750 , 6 , 995 , 235
3 , 11 , 235 , 6 , 200 , 750
3 , 12 , 1050 , 3 , 1520 , 235
3 , 13 , 235 , 3 , 781 , 1050
3 , 14 , 1750 , 5 , 2108 , 235
3 , 15 , 1750 , 5 , 1887 , 1750
3 , 16 , 1750 , 5 , 2065 , 1750
3 , 17 , 1750 , 4 , 2206 , 1750
3 , 18 , 235 , 4 , 1340 , 1750
3 , 19 , 2350 , 5 , 2665 , 235
3 , 20 , 3000 , 4 , 3381 , 2350
3 , 21 , 235 , 5 , 2670 , 3000
3 , 22 , 3000 , 5 , 3758 , 235
3 , 23 , 3850 , 6 , 4863 , 3000
3 , 24 , 3850 , 6 , 4074 , 3850
3 , 25 , 3850 , 6 , 4778 , 3850
3 , 26 , 3850 , 7 , 3850 , 3850
3 , 27 , 3850 , 6 , 5029 , 3850
3 , 28 , 235 , 6 , 3733 , 3850
3 , 29 , 3850 , 7 , 5093 , 235
3 , 30 , 3850 , 6 , 4667 , 3850
3 , 31 , 3850 , 5 , 5036 , 3850
3 , 32 , 3850 , 5 , 5025 , 3850
3 , 33 , 3850 , 5 , 4482 , 3850
3 , 34 , 235 , 6 , 3466 , 3850
3 , 35 , 3000 , 6 , 3076 , 235
